UUID,TCGA_ID
52df14ea-5feb-481a-855e-0a6176744a73,TCGA-A2-A0ER
619785ac-0041-4b26-a887-d8ca021eaab1,TCGA-A2-A0YI
231b4ae3-8543-47f4-a9f6-0ac26210b26d,TCGA-D8-A1XA
b25117ce-5a14-4b43-bbfe-513b957464d0,TCGA-A2-A0D2
f532a6be-de3e-420c-960a-23627589e7ad,TCGA-E2-A14N
2973fc8f-d20c-4cf3-b183-2ac32df73ae7,TCGA-A2-A04Y
fb9c23f2-8694-41ca-a126-a5a131abeac1,TCGA-D8-A1JA
a3624554-07c8-41d7-9b6b-f4cbf9de9301,TCGA-E9-A24A
ce76e826-0792-4dec-ace7-7efa3bb8db94,TCGA-PL-A8LY
0e8857f9-6f8b-46c5-a019-9c69bdc50525,TCGA-BH-A18I
fd71e0e9-e77a-465b-b118-b1f9665d5797,TCGA-AR-A5QM
ba295155-272e-43eb-9d6a-e4c9c392e68b,TCGA-D8-A1XO
3a6cc4be-eff8-4725-a416-46ed35316192,TCGA-A1-A0SO
d636f6ce-e820-4e8a-969f-c3ac2d46b191,TCGA-D8-A27E
40a4fc74-f345-4940-be5c-249013782e4f,TCGA-BH-A18N
948f1e9e-702b-4f42-a766-fb6b4976b14d,TCGA-A8-A06O
c07f871d-fea0-401a-b0c5-ec5685c311d7,TCGA-A2-A4S2
4152a167-7b5f-4415-81f8-b22732cc6ef7,TCGA-B6-A0RU
df6189e5-bd61-4be2-9d31-efef56cb4739,TCGA-A7-A26J
d078b2ae-790a-4220-98a0-18d311996ed5,TCGA-AC-A3TM
0c814cd9-5b2c-4764-9e6a-6ad0403fcd7d,TCGA-A7-A0DC
db5dab56-838e-4784-a7cf-f05296e356f7,TCGA-A7-A0DC
616b6b60-8c4a-4d85-9a24-f47df6ad497e,TCGA-A8-A08F
0a9e33db-2527-4cc3-8669-a7c10fed7a7f,TCGA-A7-A0CD
4ab26a32-f816-4aee-9130-12a0b3604db0,TCGA-A8-A09K
17efe3f1-a97a-4e26-b28a-98702fd3c42b,TCGA-AR-A2LR
93f26994-d3de-4c8a-bfde-86af8d85b01a,TCGA-GI-A2C8
92e64d91-88d8-4b1f-ab56-b593748b9f19,TCGA-B6-A1KC
0633890f-584c-43d9-aa3f-7a6555533dd8,TCGA-C8-A1HI
a3595c7e-948b-4d93-a623-477d7af84e15,TCGA-BH-A0C0
b773c30d-f37b-4aee-8330-a159d42d3019,TCGA-A8-A07G
2b67c3b5-330e-41e4-95cf-028d37fe91e1,TCGA-E9-A1R2
f0024165-4df2-454e-a0cb-17720455c0c9,TCGA-D8-A143
815b70e5-858d-416d-94aa-6749960883ce,TCGA-BH-A18L
f7c6320e-0c39-4b92-9a25-fd4e03b70362,TCGA-E2-A1LI
204cf188-2162-43ac-bad4-8304622f3090,TCGA-D8-A1XR
93f8d395-2512-41fc-992e-236b706dd281,TCGA-D8-A27R
ad502a9c-1f1a-4118-a8f9-2cffb9b0c610,TCGA-A2-A0SV
0f382cf1-3e52-4078-bf12-cc6ba998ed3f,TCGA-E9-A22G
4fb219d8-519a-4ce9-a3f1-28fae295424f,TCGA-OL-A6VQ
508e541e-c751-42cd-8f8c-a57a835daf1b,TCGA-A2-A4RW
754df69c-2fab-4037-8673-fd3be673fc09,TCGA-B6-A0WV
d769bce5-c92f-472f-8bb8-4bf4593e29d7,TCGA-LL-A9Q3
1a3dcc95-64bf-4886-9807-9511b24f30af,TCGA-AR-A2LM
834c833a-1e2d-48b6-87d5-e19bf2db6e1a,TCGA-A2-A0CO
f13d5df0-7293-4453-942f-2b49a3d33057,TCGA-BH-A0DI
6f72a3df-b4db-4f04-aa1f-644dca35d3ab,TCGA-PE-A5DC
dede0990-1733-4473-bc48-78605f16834c,TCGA-OL-A66K
8d3d544f-6d1a-4cdc-8091-490311487ebd,TCGA-AO-A128
ce52c9b2-ab83-4efa-8abf-97475dcf892d,TCGA-B6-A0RM
56bc1e6b-d1bf-4df9-b266-07ff567aad77,TCGA-GM-A2DF
5fc65e17-1d90-411d-b01d-f6aaa72730f9,TCGA-E2-A15L
ad44b37b-0bd2-4289-b03f-d52858da2d0f,TCGA-A8-A08S
bdba14fb-88aa-43b0-8c25-53948b9935b7,TCGA-A2-A3XT
04026251-0cf6-4889-83b4-8a46881470b5,TCGA-A8-A09C
c9496c77-cfbf-42db-a862-af0b878b9852,TCGA-A7-A26F
39a75bde-24a0-4d26-8377-df045423f786,TCGA-BH-A1FB
0ba03a16-3c4f-4118-91aa-53d4a7c00d38,TCGA-D8-A27G
2e41a573-7a9d-4f96-873f-48aa12b3ab96,TCGA-D8-A1Y3
36bbebb5-ba1e-4ac6-83b2-67ccd05e4939,TCGA-A2-A1G0
315f3deb-74b5-4b71-afe5-759c85a0a6cc,TCGA-A2-A0CQ
c5c93338-4046-4247-b5c2-ef133609797e,TCGA-BH-A0W7
c4eb8167-4c62-4a41-b9a7-f3259f945d9d,TCGA-C8-A278
713df9b5-ea25-464c-b13e-fe8b61fe363d,TCGA-A2-A0EQ
81395cc8-c7d5-4ea7-957a-b5cb8d6bfd1a,TCGA-E2-A1IN
