Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	HIF-1 signaling pathway	3/109	2.463813e-01	5.763209e-01	0	0	1.776034e+00	2.488002e+00	PRKCB;IGF1;EGFR
KEGG_2021_Human	Arachidonic acid metabolism	2/61	2.496505e-01	5.763209e-01	0	0	2.125521e+00	2.949571e+00	PTGIS;GPX3
KEGG_2021_Human	Steroid hormone biosynthesis	2/61	2.496505e-01	5.763209e-01	0	0	2.125521e+00	2.949571e+00	HSD11B1;CYP11A1
KEGG_2021_Human	Hippo signaling pathway	4/163	2.557371e-01	5.841574e-01	0	0	1.579486e+00	2.153795e+00	PPP2R2B;CCN2;FAT4;BMP6
KEGG_2021_Human	Glycosaminoglycan degradation	1/19	2.604903e-01	5.888166e-01	0	0	3.479653e+00	4.680793e+00	HPSE2
KEGG_2021_Human	Wnt signaling pathway	4/166	2.661116e-01	5.953218e-01	0	0	1.549998e+00	2.051949e+00	SFRP1;PRKCB;RSPO3;ROR1
KEGG_2021_Human	Long-term potentiation	2/67	2.847344e-01	6.304833e-01	0	0	1.928729e+00	2.422867e+00	PRKCB;CAMK4
KEGG_2021_Human	Retinol metabolism	2/68	2.905736e-01	6.305914e-01	0	0	1.899409e+00	2.347477e+00	ALDH1A2;ALDH1A1
KEGG_2021_Human	AMPK signaling pathway	3/120	2.932334e-01	6.305914e-01	0	0	1.608153e+00	1.972859e+00	PPP2R2B;LEPR;IGF1
KEGG_2021_Human	Adipocytokine signaling pathway	2/69	2.964070e-01	6.305914e-01	0	0	1.870965e+00	2.275134e+00	LEPR;PRKCQ
KEGG_2021_Human	Amphetamine addiction	2/69	2.964070e-01	6.305914e-01	0	0	1.870965e+00	2.275134e+00	PRKCB;CAMK4
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	2/70	3.022332e-01	6.367437e-01	0	0	1.843357e+00	2.205680e+00	CXCL2;EGFR
KEGG_2021_Human	Non-small cell lung cancer	2/72	3.138592e-01	6.548793e-01	0	0	1.790507e+00	2.074858e+00	PRKCB;EGFR
KEGG_2021_Human	Thyroid hormone synthesis	2/75	3.312153e-01	6.833963e-01	0	0	1.716662e+00	1.896888e+00	GPX3;PRKCB
KEGG_2021_Human	Gastric acid secretion	2/76	3.369742e-01	6.833963e-01	0	0	1.693377e+00	1.841969e+00	PRKCB;MYLK
KEGG_2021_Human	Pertussis	2/76	3.369742e-01	6.833963e-01	0	0	1.693377e+00	1.841969e+00	C3;C1S
KEGG_2021_Human	Leishmaniasis	2/77	3.427183e-01	6.886099e-01	0	0	1.670714e+00	1.789078e+00	C3;PRKCB
KEGG_2021_Human	Antigen processing and presentation	2/78	3.484465e-01	6.936962e-01	0	0	1.648646e+00	1.738119e+00	CD8B;CD8A
KEGG_2021_Human	Transcriptional misregulation in cancer	4/192	3.581894e-01	7.066100e-01	0	0	1.333858e+00	1.369463e+00	NGFR;BCL11B;TSPAN7;IGF1
KEGG_2021_Human	Yersinia infection	3/137	3.664005e-01	7.162966e-01	0	0	1.402913e+00	1.408564e+00	CD8B;CD8A;LCK
KEGG_2021_Human	Pathogenic Escherichia coli infection	4/197	3.760483e-01	7.280333e-01	0	0	1.298969e+00	1.270440e+00	CLDN11;CLDN19;MYH11;PAK3
KEGG_2021_Human	beta-Alanine metabolism	1/30	3.791141e-01	7.280333e-01	0	0	2.158577e+00	2.093643e+00	AOC3
KEGG_2021_Human	Insulin secretion	2/86	3.935973e-01	7.492160e-01	0	0	1.491024e+00	1.390271e+00	PRKCB;KCNMB1
KEGG_2021_Human	Viral carcinogenesis	4/203	3.974191e-01	7.499126e-01	0	0	1.259416e+00	1.162144e+00	C3;EGR2;CCR5;CCR4
KEGG_2021_Human	Gastric cancer	3/149	4.173696e-01	7.807690e-01	0	0	1.286815e+00	1.124397e+00	FGF7;ABCB1;EGFR
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	3/150	4.215628e-01	7.812244e-01	0	0	1.277996e+00	1.103916e+00	SLC8A3;PPP2R2B;SCN4B
KEGG_2021_Human	Small cell lung cancer	2/92	4.265160e-01	7.812244e-01	0	0	1.391196e+00	1.185446e+00	LAMA2;LAMA1
KEGG_2021_Human	Rheumatoid arthritis	2/93	4.319125e-01	7.812244e-01	0	0	1.375838e+00	1.155061e+00	CD28;CXCL2
KEGG_2021_Human	Mucin type O-glycan biosynthesis	1/36	4.356136e-01	7.812244e-01	0	0	1.787989e+00	1.485818e+00	GALNT15
KEGG_2021_Human	Tyrosine metabolism	1/36	4.356136e-01	7.812244e-01	0	0	1.787989e+00	1.485818e+00	AOC3
KEGG_2021_Human	African trypanosomiasis	1/37	4.445187e-01	7.906603e-01	0	0	1.738234e+00	1.409296e+00	PRKCB
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	2/97	4.532228e-01	7.995883e-01	0	0	1.317639e+00	1.042742e+00	PTPRC;PRKCB
KEGG_2021_Human	Glycine, serine and threonine metabolism	1/40	4.704023e-01	7.999079e-01	0	0	1.604279e+00	1.209894e+00	AOC3
KEGG_2021_Human	Nicotine addiction	1/40	4.704023e-01	7.999079e-01	0	0	1.604279e+00	1.209894e+00	SLC17A7
KEGG_2021_Human	Hepatitis B	3/162	4.709946e-01	7.999079e-01	0	0	1.180818e+00	8.890477e-01	EGR2;PRKCB;STAT4
KEGG_2021_Human	Melanogenesis	2/101	4.740707e-01	7.999079e-01	0	0	1.264143e+00	9.435548e-01	PRKCB;KIT
