Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	6/77	1.350841e-03	2.590205e-02	0	0	5.364146e+00	3.544106e+01	SELP;PDGFRA;KIT;ROR1;IGF1;DCN
GO_Biological_Process_2021	regulation of lymphocyte activation (GO:0051249)	3/15	1.529942e-03	2.777631e-02	0	0	1.576362e+01	1.021881e+02	LCK;SIT1;CRTAM
GO_Biological_Process_2021	peptidyl-tyrosine autophosphorylation (GO:0038083)	3/15	1.529942e-03	2.777631e-02	0	0	1.576362e+01	1.021881e+02	ITK;BMX;EGFR
GO_Biological_Process_2021	activation of phospholipase C activity (GO:0007202)	4/32	1.532971e-03	2.777631e-02	0	0	9.029398e+00	5.851545e+01	ITK;HTR2A;S1PR4;EGFR
GO_Biological_Process_2021	regulation of chemotaxis (GO:0050920)	4/32	1.532971e-03	2.777631e-02	0	0	9.029398e+00	5.851545e+01	PDGFRA;CCL21;GPR183;CCL19
GO_Biological_Process_2021	hematopoietic progenitor cell differentiation (GO:0002244)	4/32	1.532971e-03	2.777631e-02	0	0	9.029398e+00	5.851545e+01	SFRP1;PTPRC;KIT;MEOX1
GO_Biological_Process_2021	positive regulation of interleukin-10 production (GO:0032733)	4/32	1.532971e-03	2.777631e-02	0	0	9.029398e+00	5.851545e+01	CD40LG;TSLP;IRF4;CD28
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	5/56	1.859092e-03	3.311549e-02	0	0	6.209361e+00	3.904240e+01	PDGFRA;RELN;LCK;KIT;EGFR
GO_Biological_Process_2021	negative regulation of macrophage activation (GO:0043031)	3/16	1.861174e-03	3.311549e-02	0	0	1.455030e+01	9.147113e+01	LRFN5;PTPRC;CST7
GO_Biological_Process_2021	cardiac muscle contraction (GO:0060048)	4/34	1.928814e-03	3.401256e-02	0	0	8.426581e+00	5.267329e+01	DMD;SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	regulation of osteoblast differentiation (GO:0045667)	6/83	1.988264e-03	3.475063e-02	0	0	4.944648e+00	3.075815e+01	GDF10;TNN;TWIST2;IGF1;TP63;BMP6
GO_Biological_Process_2021	positive regulation of interferon-gamma production (GO:0032729)	5/57	2.012005e-03	3.485710e-02	0	0	6.089640e+00	3.780828e+01	CD2;CRTAM;SLAMF6;CD244;CCR2
GO_Biological_Process_2021	lymphocyte differentiation (GO:0030098)	6/84	2.113426e-03	3.629580e-02	0	0	4.881006e+00	3.006429e+01	PTPRC;LCK;KIT;LEPR;IKZF1;TOX
GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	4/35	2.151010e-03	3.662279e-02	0	0	8.154341e+00	5.008248e+01	PDGFRA;CCL21;KIT;CCL19
GO_Biological_Process_2021	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	3/17	2.233816e-03	3.756143e-02	0	0	1.351030e+01	8.246748e+01	SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	9/180	2.268188e-03	3.756143e-02	0	0	3.356381e+00	2.043625e+01	EGR1;CCL21;CD28;IGF1;PTH1R;CCL19;GLI1;EGFR;CD244
GO_Biological_Process_2021	response to interleukin-1 (GO:0070555)	6/86	2.381493e-03	3.756143e-02	0	0	4.758495e+00	2.874144e+01	CCL14;SFRP1;CCL23;PTGIS;CCL21;CCL19
GO_Biological_Process_2021	antigen processing and presentation of lipid antigen via MHC class Ib (GO:0048003)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	CD1E;CD1C
GO_Biological_Process_2021	antigen processing and presentation, endogenous lipid antigen via MHC class Ib (GO:0048006)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	CD1E;CD1C
GO_Biological_Process_2021	antigen processing and presentation, exogenous lipid antigen via MHC class Ib (GO:0048007)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	CD1E;CD1C
GO_Biological_Process_2021	cellular response to heparin (GO:0071504)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	EGR1;SFRP1
GO_Biological_Process_2021	response to prostaglandin (GO:0034694)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	CCL21;CCL19
GO_Biological_Process_2021	monocyte extravasation (GO:0035696)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	JAML;CCR2
GO_Biological_Process_2021	negative regulation of T cell migration (GO:2000405)	2/5	2.396324e-03	3.756143e-02	0	0	4.192119e+01	2.529449e+02	RIPOR2;CD200R1
GO_Biological_Process_2021	regulation of cytosolic calcium ion concentration (GO:0051480)	8/148	2.432145e-03	3.782273e-02	0	0	3.637971e+00	2.189688e+01	PDGFRA;PTGFR;XCR1;TACR1;CCR5;CCR4;S1PR4;CCR2
GO_Biological_Process_2021	regulation of membrane depolarization (GO:0003254)	3/18	2.649550e-03	4.088173e-02	0	0	1.260897e+01	7.481365e+01	FHL1;SCN3B;SCN2B
GO_Biological_Process_2021	cardiac muscle cell contraction (GO:0086003)	3/19	3.109948e-03	4.618156e-02	0	0	1.182031e+01	6.824043e+01	SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	regulation of neuroinflammatory response (GO:0150077)	3/19	3.109948e-03	4.618156e-02	0	0	1.182031e+01	6.824043e+01	IL33;CD200R1;IGF1
GO_Biological_Process_2021	negative regulation of T cell receptor signaling pathway (GO:0050860)	3/19	3.109948e-03	4.618156e-02	0	0	1.182031e+01	6.824043e+01	SH2D1A;UBASH3A;SLA2
GO_Biological_Process_2021	positive regulation of leukocyte activation (GO:0002696)	3/19	3.109948e-03	4.618156e-02	0	0	1.182031e+01	6.824043e+01	CD2;IL33;TSLP
GO_Biological_Process_2021	positive regulation of neutrophil chemotaxis (GO:0090023)	3/19	3.109948e-03	4.618156e-02	0	0	1.182031e+01	6.824043e+01	RIPOR2;CCL21;CCL19
GO_Biological_Process_2021	regulation of ion transmembrane transporter activity (GO:0032412)	4/39	3.216589e-03	4.740869e-02	0	0	7.220946e+00	4.144414e+01	FHL1;SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	regulation of epithelial cell proliferation (GO:0050678)	6/93	3.524322e-03	4.982507e-02	0	0	4.374065e+00	2.470502e+01	FGF7;SFRP1;IGF1;RUNX3;EGFR;BMP6
GO_Biological_Process_2021	regulation of sodium ion transmembrane transporter activity (GO:2000649)	4/40	3.530314e-03	4.982507e-02	0	0	7.020007e+00	3.963755e+01	DMD;SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	stem cell differentiation (GO:0048863)	4/40	3.530314e-03	4.982507e-02	0	0	7.020007e+00	3.963755e+01	SFRP1;PTPRC;KIT;MEOX1
GO_Biological_Process_2021	response to heparin (GO:0071503)	2/6	3.557132e-03	4.982507e-02	0	0	3.143930e+01	1.772799e+02	EGR1;SFRP1
GO_Biological_Process_2021	negative regulation of SMAD protein signal transduction (GO:0060392)	2/6	3.557132e-03	4.982507e-02	0	0	3.143930e+01	1.772799e+02	CILP;CCN3
GO_Biological_Process_2021	positive regulation of antigen processing and presentation (GO:0002579)	2/6	3.557132e-03	4.982507e-02	0	0	3.143930e+01	1.772799e+02	CCL21;CCL19
GO_Biological_Process_2021	positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	2/6	3.557132e-03	4.982507e-02	0	0	3.143930e+01	1.772799e+02	CCL21;CCL19
GO_Biological_Process_2021	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	3/20	3.616476e-03	4.994783e-02	0	0	1.112443e+01	6.254441e+01	CD8A;SLA2;BACH2
GO_Biological_Process_2021	xenobiotic transport (GO:0042908)	3/20	3.616476e-03	4.994783e-02	0	0	1.112443e+01	6.254441e+01	SLC22A3;ABCB1;ABCA8
GO_Biological_Process_2021	hemopoiesis (GO:0030097)	6/94	3.715924e-03	5.096492e-02	0	0	4.324139e+00	2.419411e+01	SFRP1;PTPRC;LCK;KIT;TOX;RUNX3
GO_Biological_Process_2021	heart contraction (GO:0060047)	4/41	3.864192e-03	5.263295e-02	0	0	6.829930e+00	3.794711e+01	DMD;SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	calcium-mediated signaling using intracellular calcium source (GO:0035584)	3/21	4.170497e-03	5.565359e-02	0	0	1.050588e+01	5.756926e+01	SELP;PTGFR;PTPRC
GO_Biological_Process_2021	sensory perception of pain (GO:0019233)	3/21	4.170497e-03	5.565359e-02	0	0	1.050588e+01	5.756926e+01	MME;KCNA2;CCR2
GO_Biological_Process_2021	positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	3/21	4.170497e-03	5.565359e-02	0	0	1.050588e+01	5.756926e+01	ADAMTS1;MMP2;IGF1
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	4/42	4.218815e-03	5.592053e-02	0	0	6.649856e+00	3.636275e+01	CCL14;CCL23;CCL21;CCL19
GO_Biological_Process_2021	positive regulation of macromolecule biosynthetic process (GO:0010557)	7/129	4.381077e-03	5.768417e-02	0	0	3.644374e+00	1.979063e+01	IL33;CCL21;CD28;IGF1;CCL19;GLI1;EGFR
GO_Biological_Process_2021	natural killer cell activation (GO:0030101)	4/43	4.594766e-03	5.899698e-02	0	0	6.479017e+00	3.487550e+01	CD2;PTPRC;TOX;CD244
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	4/43	4.594766e-03	5.899698e-02	0	0	6.479017e+00	3.487550e+01	CRTAM;CD1E;SLAMF6;CD1C
GO_Biological_Process_2021	regulation of platelet activation (GO:0010543)	3/22	4.773273e-03	5.899698e-02	0	0	9.952429e+00	5.319298e+01	SELP;PDGFRA;PRKCQ
GO_Biological_Process_2021	neuronal action potential (GO:0019228)	3/22	4.773273e-03	5.899698e-02	0	0	9.952429e+00	5.319298e+01	KCNA1;KCNA2;SCN3A
GO_Biological_Process_2021	positive regulation of granulocyte chemotaxis (GO:0071624)	3/22	4.773273e-03	5.899698e-02	0	0	9.952429e+00	5.319298e+01	RIPOR2;CCL21;CCL19
GO_Biological_Process_2021	positive regulation of neutrophil migration (GO:1902624)	3/22	4.773273e-03	5.899698e-02	0	0	9.952429e+00	5.319298e+01	RIPOR2;CCL21;CCL19
GO_Biological_Process_2021	regulation of atrial cardiac muscle cell membrane depolarization (GO:0060371)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	SCN3B;SCN2B
GO_Biological_Process_2021	regulation of bone remodeling (GO:0046850)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	SFRP1;LEPR
GO_Biological_Process_2021	regulation of inositol phosphate biosynthetic process (GO:0010919)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	PTH1R;CD244
GO_Biological_Process_2021	regulation of skeletal muscle contraction (GO:0014819)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	SLC8A3;DMD
GO_Biological_Process_2021	gamma-delta T cell activation (GO:0046629)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	ITK;JAML
GO_Biological_Process_2021	negative regulation of dendritic cell apoptotic process (GO:2000669)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	CCL21;CCL19
GO_Biological_Process_2021	negative regulation of type 2 immune response (GO:0002829)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	TBX21;CCR2
GO_Biological_Process_2021	positive regulation of fibroblast apoptotic process (GO:2000271)	2/7	4.928296e-03	5.899698e-02	0	0	2.515016e+01	1.336168e+02	SFRP1;TP63
GO_Biological_Process_2021	positive regulation of cell-substrate adhesion (GO:0010811)	5/70	4.928862e-03	5.899698e-02	0	0	4.868486e+00	2.586455e+01	SFRP1;ECM2;CCL21;CD3E;FBLN2
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	9/203	5.018507e-03	5.970814e-02	0	0	2.954973e+00	1.564547e+01	PPP1R16B;SFRP1;PTGIS;HSPB6;PRKCB;ADAMTS1;ISM1;DCN;CCR2
GO_Biological_Process_2021	regulation of SMAD protein signal transduction (GO:0060390)	3/23	5.425973e-03	6.378748e-02	0	0	9.454327e+00	4.931905e+01	CILP;CCN3;BMP6
GO_Biological_Process_2021	positive regulation of interleukin-17 production (GO:0032740)	3/23	5.425973e-03	6.378748e-02	0	0	9.454327e+00	4.931905e+01	PRKCQ;SLAMF6;LY9
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	14/408	5.522089e-03	6.453328e-02	0	0	2.277299e+00	1.183968e+01	NGFR;PDGFRA;SERPINE2;TWIST2;IGF1;PODN;EGFR;MYLK;IGSF10;SFRP1;FGF7;KIT;CLDN19;ENPP2
GO_Biological_Process_2021	cellular calcium ion homeostasis (GO:0006874)	7/136	5.832107e-03	6.735914e-02	0	0	3.445384e+00	1.772435e+01	CCL14;SLC8A3;CCL23;HTR2A;PTH1R;CCL19;CCR2
GO_Biological_Process_2021	organic substance transport (GO:0071702)	7/136	5.832107e-03	6.735914e-02	0	0	3.445384e+00	1.772435e+01	SLC22A3;ABCA10;ABCD2;ABCA6;ABCA9;CD3G;ABCA8
GO_Biological_Process_2021	positive regulation of JNK cascade (GO:0046330)	5/73	5.888485e-03	6.761488e-02	0	0	4.652989e+00	2.389196e+01	CCL21;CD27;CCN2;CCL19;SLAMF1
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	3/24	6.129670e-03	6.917770e-02	0	0	9.003663e+00	4.587019e+01	MFAP4;TNXB;MYH11
GO_Biological_Process_2021	lymphocyte activation involved in immune response (GO:0002285)	3/24	6.129670e-03	6.917770e-02	0	0	9.003663e+00	4.587019e+01	GPR183;CD1C;CD244
GO_Biological_Process_2021	phospholipid catabolic process (GO:0009395)	3/24	6.129670e-03	6.917770e-02	0	0	9.003663e+00	4.587019e+01	LIPG;ENPP2;ENPP6
GO_Biological_Process_2021	regulation of JNK cascade (GO:0046328)	6/105	6.366522e-03	6.980065e-02	0	0	3.841522e+00	1.942543e+01	CCL21;CD27;CCN2;CCL19;EGFR;SLAMF1
GO_Biological_Process_2021	amine metabolic process (GO:0009308)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	AOC3;INMT
GO_Biological_Process_2021	cellular response to UV-B (GO:0071493)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	MFAP4;MME
GO_Biological_Process_2021	sequestering of BMP from receptor via BMP binding (GO:0038098)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	GREM2;CHRDL1
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	MYH11;PROX1
GO_Biological_Process_2021	natural killer cell differentiation (GO:0001779)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	PTPRC;TOX
GO_Biological_Process_2021	negative regulation of microglial cell activation (GO:1903979)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	PTPRC;CST7
GO_Biological_Process_2021	negative regulation of osteoblast proliferation (GO:0033689)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	SFRP1;TNN
GO_Biological_Process_2021	positive regulation of dendritic cell cytokine production (GO:0002732)	2/8	6.502946e-03	6.980065e-02	0	0	2.095740e+01	1.055310e+02	CAMK4;KIT
GO_Biological_Process_2021	regulation of interleukin-10 production (GO:0032653)	4/48	6.813984e-03	7.271960e-02	0	0	5.741304e+00	2.864209e+01	CD40LG;TSLP;IRF4;CD28
GO_Biological_Process_2021	negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	3/25	6.885349e-03	7.271960e-02	0	0	8.593969e+00	4.278386e+01	SH2D1A;UBASH3A;SLA2
GO_Biological_Process_2021	positive regulation of T cell migration (GO:2000406)	3/25	6.885349e-03	7.271960e-02	0	0	8.593969e+00	4.278386e+01	SPN;CCL21;CCR2
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	10/253	7.036711e-03	7.392289e-02	0	0	2.623221e+00	1.300229e+01	C3;PDGFRA;FGF7;KIT;CLDN19;LEPR;ROR1;IGF1;ADTRP;EGFR
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	16/511	7.380510e-03	7.712438e-02	0	0	2.074525e+00	1.018366e+01	EOMES;EGR1;EGR2;PYHIN1;IGF1;GLI1;RUNX3;EGFR;SFRP1;FGF7;IRF4;CAMK4;TBX21;PRDM16;ATOH8;TP63
GO_Biological_Process_2021	positive regulation of ion transport (GO:0043270)	4/50	7.869984e-03	8.180641e-02	0	0	5.491123e+00	2.660284e+01	FHL1;SCN3B;SCN4B;MYLK
GO_Biological_Process_2021	response to tumor necrosis factor (GO:0034612)	6/110	7.941482e-03	8.211741e-02	0	0	3.655900e+00	1.767867e+01	CCL14;SFRP1;CCL23;PID1;CCL21;CCL19
GO_Biological_Process_2021	regulation of dendritic cell antigen processing and presentation (GO:0002604)	2/9	8.274373e-03	8.380455e-02	0	0	1.796257e+01	8.612322e+01	CCL21;CCL19
GO_Biological_Process_2021	regulation of endothelial cell differentiation (GO:0045601)	2/9	8.274373e-03	8.380455e-02	0	0	1.796257e+01	8.612322e+01	TMEM100;ATOH8
GO_Biological_Process_2021	regulation of fibroblast apoptotic process (GO:2000269)	2/9	8.274373e-03	8.380455e-02	0	0	1.796257e+01	8.612322e+01	SFRP1;TP63
GO_Biological_Process_2021	positive regulation of inositol phosphate biosynthetic process (GO:0060732)	2/9	8.274373e-03	8.380455e-02	0	0	1.796257e+01	8.612322e+01	PTH1R;CD244
GO_Biological_Process_2021	negative regulation of insulin receptor signaling pathway (GO:0046627)	3/27	8.556170e-03	8.517443e-02	0	0	7.877003e+00	3.750322e+01	PID1;PRKCB;PRKCQ
GO_Biological_Process_2021	positive regulation of cellular component movement (GO:0051272)	3/27	8.556170e-03	8.517443e-02	0	0	7.877003e+00	3.750322e+01	CCL21;SPOCK2;CCL19
GO_Biological_Process_2021	positive regulation of striated muscle cell differentiation (GO:0051155)	3/27	8.556170e-03	8.517443e-02	0	0	7.877003e+00	3.750322e+01	NRG1;IGF1;PROX1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	9/221	8.582680e-03	8.517443e-02	0	0	2.701582e+00	1.285415e+01	PDGFRA;CCL21;SPOCK2;KIT;TWIST2;IGF1;CCL19;EGFR;MYLK
GO_Biological_Process_2021	regulation of NIK/NF-kappaB signaling (GO:1901222)	5/80	8.625259e-03	8.517443e-02	0	0	4.217204e+00	2.004463e+01	TNFSF14;CD27;CCN3;CCL19;EGFR
GO_Biological_Process_2021	positive regulation of metabolic process (GO:0009893)	6/113	9.011144e-03	8.854234e-02	0	0	3.552854e+00	1.673143e+01	PLAC8;IRF4;PRDM16;LEPR;JCHAIN;CCR2
GO_Biological_Process_2021	regulation of sodium ion transmembrane transport (GO:1902305)	3/28	9.472864e-03	9.171033e-02	0	0	7.561538e+00	3.523166e+01	SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	response to ketone (GO:1901654)	3/28	9.472864e-03	9.171033e-02	0	0	7.561538e+00	3.523166e+01	CCL21;SLIT3;CCL19
GO_Biological_Process_2021	negative regulation of cellular response to insulin stimulus (GO:1900077)	3/28	9.472864e-03	9.171033e-02	0	0	7.561538e+00	3.523166e+01	PID1;PRKCB;PRKCQ
GO_Biological_Process_2021	regulation of immune effector process (GO:0002697)	4/53	9.646644e-03	9.248602e-02	0	0	5.154144e+00	2.392113e+01	C3;C1S;C7;IRF4
GO_Biological_Process_2021	positive regulation of NIK/NF-kappaB signaling (GO:1901224)	4/53	9.646644e-03	9.248602e-02	0	0	5.154144e+00	2.392113e+01	TNFSF14;CD27;CCL19;EGFR
GO_Biological_Process_2021	regulation of cytokine production (GO:0001817)	7/150	9.773457e-03	9.316200e-02	0	0	3.105849e+00	1.437413e+01	ITK;IL33;PTPRC;CRTAM;CD28;CLEC9A;CCR2
GO_Biological_Process_2021	epidermis development (GO:0008544)	5/83	1.002977e-02	9.316200e-02	0	0	4.054384e+00	1.865907e+01	COL17A1;FGF7;SVEP1;CCN2;GLI1
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	10/267	1.006619e-02	9.316200e-02	0	0	2.478535e+00	1.139773e+01	SFRP1;PID1;PTPRC;PRKCB;CILP;PRKCQ;EGFR;DCN;SLAMF1;TRABD2A
GO_Biological_Process_2021	regulation of cell-cell adhesion mediated by integrin (GO:0033632)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	DPP4;CD3E
GO_Biological_Process_2021	cellular response to prostaglandin stimulus (GO:0071379)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	PTGFR;SFRP1
GO_Biological_Process_2021	regulation of leukocyte tethering or rolling (GO:1903236)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	SELP;CCL21
GO_Biological_Process_2021	complement activation, lectin pathway (GO:0001867)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	MFAP4;MASP1
GO_Biological_Process_2021	hematopoietic stem cell differentiation (GO:0060218)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	SFRP1;MEOX1
GO_Biological_Process_2021	smooth muscle tissue development (GO:0048745)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	PROX1;MYLK
GO_Biological_Process_2021	negative regulation of extracellular matrix organization (GO:1903054)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	DPP4;ADTRP
GO_Biological_Process_2021	negative regulation of leukocyte migration (GO:0002686)	2/10	1.023603e-02	9.316200e-02	0	0	1.571645e+01	7.201030e+01	CD200R1;ADTRP
GO_Biological_Process_2021	striated muscle contraction (GO:0006941)	4/54	1.029206e-02	9.324225e-02	0	0	5.050804e+00	2.311441e+01	DMD;SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	regulation of T cell mediated cytotoxicity (GO:0001914)	3/29	1.044465e-02	9.334021e-02	0	0	7.270340e+00	3.316486e+01	PTPRC;CD1E;CD1C
GO_Biological_Process_2021	glial cell differentiation (GO:0010001)	3/29	1.044465e-02	9.334021e-02	0	0	7.270340e+00	3.316486e+01	SLC8A3;EGR2;RELN
GO_Biological_Process_2021	negative regulation of wound healing (GO:0061045)	3/29	1.044465e-02	9.334021e-02	0	0	7.270340e+00	3.316486e+01	SERPINE2;CLDN19;ADTRP
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	18/625	1.054028e-02	9.377047e-02	0	0	1.904847e+00	8.671916e+00	CCL14;PTGFR;PDGFRA;EGR2;TSLP;NRG1;IGF1;PROX1;GLI1;CST7;EGFR;BMP6;DPP4;SFRP1;FGF7;CCN2;IL7R;SLAMF1
GO_Biological_Process_2021	positive regulation of phosphate metabolic process (GO:0045937)	3/30	1.147212e-02	1.003953e-01	0	0	7.000712e+00	3.127803e+01	PTH1R;EGFR;CD244
GO_Biological_Process_2021	cellular response to interleukin-1 (GO:0071347)	7/155	1.156692e-02	1.003953e-01	0	0	3.000154e+00	1.337950e+01	CCL14;EGR1;SFRP1;CCL23;PTGIS;CCL21;CCL19
GO_Biological_Process_2021	regulation of interferon-gamma production (GO:0032649)	5/86	1.158372e-02	1.003953e-01	0	0	3.903624e+00	1.740296e+01	CD2;CRTAM;SLAMF6;CD244;CCR2
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	8/194	1.200456e-02	1.003953e-01	0	0	2.731813e+00	1.208136e+01	SFRP1;CILP;TRAT1;ATOH8;CD28;CLDN19;IGF1;CD3E
GO_Biological_Process_2021	sodium ion transmembrane transport (GO:0035725)	5/87	1.213610e-02	1.003953e-01	0	0	3.855822e+00	1.701023e+01	SLC8A3;SCN3B;SCN4B;SCN3A;SCN2B
GO_Biological_Process_2021	B cell mediated immunity (GO:0019724)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	CD27;SLA2
GO_Biological_Process_2021	regulation of dendritic cell apoptotic process (GO:2000668)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	CCL21;CCL19
GO_Biological_Process_2021	cellular response to UV-A (GO:0071492)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	MME;MMP2
GO_Biological_Process_2021	regulation of lymphocyte migration (GO:2000401)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	SPN;ADTRP
GO_Biological_Process_2021	glucocorticoid biosynthetic process (GO:0006704)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	HSD11B1;CYP11A1
GO_Biological_Process_2021	glucocorticoid metabolic process (GO:0008211)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	HSD11B1;CYP11A1
GO_Biological_Process_2021	somite development (GO:0061053)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	MEOX2;MEOX1
GO_Biological_Process_2021	T cell chemotaxis (GO:0010818)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	GPR183;CCR2
GO_Biological_Process_2021	negative regulation of protein maturation (GO:1903318)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	SERPINE2;GAS1
GO_Biological_Process_2021	negative regulation of steroid biosynthetic process (GO:0010894)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	GFI1;PROX1
GO_Biological_Process_2021	organophosphate catabolic process (GO:0046434)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	LIPG;ENPP2
GO_Biological_Process_2021	positive regulation of cellular extravasation (GO:0002693)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	RIPOR2;CCR2
GO_Biological_Process_2021	positive regulation of interleukin-13 production (GO:0032736)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	TSLP;IRF4
GO_Biological_Process_2021	positive regulation of myelination (GO:0031643)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	EGR2;CST7
GO_Biological_Process_2021	positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	2/11	1.238152e-02	1.003953e-01	0	0	1.396947e+01	6.134764e+01	SFRP1;RSPO3
GO_Biological_Process_2021	regulation of mitotic nuclear division (GO:0007088)	4/57	1.239376e-02	1.003953e-01	0	0	4.764181e+00	2.091743e+01	USP44;CCDC8;CD28;IGF1
GO_Biological_Process_2021	cardiac muscle cell action potential involved in contraction (GO:0086002)	3/31	1.255577e-02	1.003953e-01	0	0	6.750343e+00	2.955013e+01	SCN3B;SCN4B;SCN2B
GO_Biological_Process_2021	negative regulation of osteoblast differentiation (GO:0045668)	3/31	1.255577e-02	1.003953e-01	0	0	6.750343e+00	2.955013e+01	GDF10;TNN;TWIST2
GO_Biological_Process_2021	positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3/31	1.255577e-02	1.003953e-01	0	0	6.750343e+00	2.955013e+01	LCK;PRKCQ;CCR2
GO_Biological_Process_2021	positive regulation of locomotion (GO:0040017)	3/31	1.255577e-02	1.003953e-01	0	0	6.750343e+00	2.955013e+01	CCL21;SPOCK2;CCL19
