Gene,logFC,pvalue
TSPAN2,1.076367685851998,2.569786582512074e-70
CRTAM,1.049379682696022,2.6051100757491538e-70
GREM2,1.0692106845165863,3.617751776823836e-70
GIMAP5,1.0576509569212251,4.027453028397347e-70
BANK1,1.0287765073248152,4.234745132271212e-70
TMOD1,0.9672162761268606,4.3764472897537896e-70
KCNA3,1.066311917757103,5.089157167108627e-70
FRZB,0.9244698640717611,6.817035572937592e-70
DPT,1.1181921420064764,8.001090303307494e-70
CDO1,1.0458512946353429,8.031653437462438e-70
PAMR1,1.0673245604084767,8.160273653957497e-70
SCN4B,1.0112272023591125,9.617531074523937e-70
PYHIN1,1.0650359582513866,1.2184974980621495e-69
MYLK,1.0571008902898313,1.4575107010527456e-69
PTGS2,0.9313268420665788,1.4886035332279346e-69
COL6A6,1.0688342194560023,1.565447009198393e-69
ATOH8,1.0786196244709567,1.819040415441732e-69
GPR183,1.0799939806061807,2.4786826399922166e-69
PDE1C,0.9604414428089281,2.8773310266024e-69
HLA-DOB,0.9640232131133725,3.1666259727742016e-69
HTR2A,1.0057611634863217,3.180528134371704e-69
PRDM16,1.029960660030802,3.486337149643288e-69
FLNC,1.0727176492724468,3.717244861627326e-69
CX3CL1,0.9878770571439912,6.077361705304772e-69
CPXM2,1.0619310914546947,6.993108335260479e-69
MMRN1,1.002133762570951,8.895973495935608e-69
HPSE2,1.0736455561334166,1.0145295427094838e-68
PTPN7,1.0003209161300415,1.1237049626176768e-68
SV2B,1.0511107026403406,1.1669238555825033e-68
CCN2,1.0866155267302158,1.3271429827853193e-68
PRF1,1.011910375928436,1.3432432610701384e-68
CD3E,1.0583468765822954,1.375615733238163e-68
ABCA10,1.0810628040885604,1.5498023809395221e-68
BBOX1,0.999093542489583,1.6139037247702008e-68
XCR1,1.0884601528892017,1.8931826494294724e-68
GALNT15,1.064707499499074,1.9383101256980942e-68
BCL11A,0.8642255087783596,1.9970679665679776e-68
ARHGEF4,0.9772849332438764,2.0651271861298323e-68
SLA2,1.0300274071277995,2.117492273903985e-68
THSD7B,1.051547358785869,2.7874353577615286e-68
GZMK,1.0606390668964558,3.4041271681692762e-68
CNTNAP3B,1.0262917554742523,3.4930637478379827e-68
JCHAIN,1.1227930978135787,4.828963463774917e-68
RSPO3,1.0894782809146428,5.0281982783527645e-68
MCTP2,1.0190417093039261,5.580007284053825e-68
ADAMTS5,1.0958142790513161,8.606411580800504e-68
SAMD5,1.034373838283909,1.658554411698589e-67
MOXD1,0.9903508723510143,2.4599822770599e-67
FAM13C,1.0987508426313752,3.5016281357203574e-67
ANGPT1,0.9466870352811263,3.658439248268054e-67
SNX20,0.9879512141234101,4.208573336811335e-67
MGAT3,0.905955540831,4.699870196241142e-67
ECM2,1.0435549845908483,5.220249754448043e-67
METTL24,1.088695020812388,5.223231425738605e-67
C10orf90,0.8147327522143427,5.365808609517214e-67
CILP,1.0014519471206298,6.441217821464902e-67
SCN2B,1.029430949277201,6.679468874957999e-67
BTLA,1.043148659558696,6.790700339957604e-67
SOD3,1.0010333079467537,6.824295081664089e-67
SCML4,1.059607614597894,6.921275155707575e-67
MASP1,1.0470208022810992,7.044103368402814e-67
DHH,1.0191101084829493,7.25679416915908e-67
LANCL3,0.8986176194975982,8.42446050106971e-67
GLB1L3,1.035371346235627,8.889699890214202e-67
PID1,1.0676765667728048,9.235135807619221e-67
TMEM132C,1.0444840223416998,1.9978620721359686e-66
IL18RAP,1.0367063260742504,2.815819815258695e-66
SLFN12L,1.053376585928615,3.37119527968182e-66
PTN,0.9969594629121572,3.861635127152994e-66
CD1E,1.020381277347385,4.050524500185036e-66
RELN,1.0296095224160033,4.5724857284547616e-66
EOMES,1.0802229390080538,6.201405627007975e-66
LAX1,1.0194082759750873,7.582540714175028e-66
ST8SIA1,0.9099213752924616,8.855695842273304e-66
CD27,1.017497614685905,9.388989167471601e-66
RARRES1,0.8580598084060229,1.1445633260989534e-65
GPM6B,0.894235223721824,1.3675482766539942e-65
CD2,1.0266335467006322,1.4250178764167498e-65
ADGRL3,0.978021759851154,1.433706854273201e-65
LEFTY2,0.9162978778590146,1.5357493283432996e-65
CCL19,1.049206917289607,2.2717707270753645e-65
LAMA1,1.0073257472993347,2.3052479047965666e-65
SH2D1A,1.0315628021755203,4.40101108455912e-65
GAS1,1.1376369958187262,4.9773151764913185e-65
SCN3B,1.1104626140366212,5.308881548850668e-65
FCRLA,1.0038496707866766,5.614537606687894e-65
CST7,1.035565774024454,5.737915114410562e-65
CD79B,0.9893537380622771,6.520718204117246e-65
DCN,1.0654248504447068,7.547062468349303e-65
CCL14,1.029965485698063,1.0537431695349343e-64
CXCR6,0.989948284179135,1.0745811775583913e-64
HTR7,0.9823374166158454,1.1916330553734922e-64
C7,1.010335868913458,1.3806485155278524e-64
SCN5A,0.9970949423924345,1.4585970799027105e-64
TRAT1,1.0351098397938001,1.7021908349855944e-64
CD3D,1.0204140460772062,1.7457351264761715e-64
MET,0.9652386894668595,1.7808721722340772e-64
S1PR4,1.0168316433148485,1.8362957165567077e-64
GPR12,0.7429909612008992,1.9095860094275206e-64
CLEC9A,1.0455828669444382,2.112205700110708e-64
SLC17A7,1.0703722600323218,2.5212627219584927e-64
CCR5,1.0070263580690673,3.1456716797068264e-64
TREML2,0.9665157268373197,3.371238722430281e-64
SPNS3,1.042021155698943,4.796165441704132e-64
MCF2L2,0.9539461288017358,4.8970745580532024e-64
CD28,1.0145449588374569,5.629041880282955e-64
PLAC9,1.0039902533557619,8.474624775814463e-64
MEOX1,1.0770715781689348,8.665876699632585e-64
ADTRP,1.0087183889704578,9.183461944742062e-64
PRSS12,0.837547698736975,1.0998577320850239e-63
TBX21,1.0189942789213022,1.1300562702995415e-63
RGS2,0.9770350017490592,1.199826249784058e-63
GPX3,1.0415260200742427,1.6204560151684036e-63
TLR10,0.9879792278411963,1.7596876510453817e-63
COL17A1,1.0634144017867744,2.1555712727924522e-63
POU2AF1,1.018759459792222,2.1872748966791583e-63
SLC2A12,0.9436039507434051,2.8073289578536346e-63
PTGIS,1.0625050329856616,3.1997563025877205e-63
MAMDC2,0.9620283024485055,3.453157106267438e-63
P2RX1,0.9858727204671813,4.419104824002874e-63
SLC1A7,0.9907734110089843,4.6712605997290375e-63
ADAM23,1.042034379500849,4.942728547905713e-63
AMPD1,1.0608846063510686,6.698318898565738e-63
CLDN19,1.0497150824025316,6.782362334093728e-63
CXCL2,1.0239592429703934,7.384913286409212e-63
SYN2,0.9804118390993524,8.524754339144719e-63
GZMA,1.0000445167837655,9.439895204715332e-63
CLCA4,0.9690309442903557,9.568041196638388e-63
BIRC3,0.9631356319865123,1.1327631138365978e-62
TRPM3,1.035669523828637,1.1429841257604e-62
GPR171,1.0326087555489813,1.271629876573226e-62
C11orf21,0.9817410226247012,1.6649933926449602e-62
HAND2,0.9989309784844393,2.084459769130673e-62
ADCYAP1R1,0.999408798473473,2.1738170106527314e-62
ACKR1,0.9895605774107934,2.38962080144102e-62
PARP15,0.9752362412548232,3.1666429113542817e-62
CYTL1,0.9878213830880755,3.507855860580978e-62
HOXA3,0.9855875987498987,4.786780755810232e-62
DSC3,0.9546516095051398,4.967322872307094e-62
FDCSP,0.8155446755888179,5.537603677816035e-62
KLRD1,0.9918673653066293,6.799403213500732e-62
KL,0.9865794233308822,9.857904959562497e-62
SOX10,0.8567013598315028,1.0558301036189534e-61
TCEAL5,0.9863916045740029,1.0827604823042493e-61
TEPP,0.9721919338038184,1.4962774336032545e-61
CD8A,1.0115055930248127,1.5011767524659489e-61
PHYHIP,1.0103598440146373,1.8164995593712648e-61
UTS2R,1.0272431180282933,1.867155273050174e-61
HSPB6,1.0010313802985322,2.2183003642312977e-61
NRG2,0.9088931618397651,2.6401724724846385e-61
EDAR,0.8614654016511031,3.0528296183957193e-61
MME,1.0515643141765794,6.007699180309724e-61
MAS1L,1.0250189852374085,6.0084503678988016e-61
DCHS2,0.8353452230666709,6.151936432112288e-61
LAMP3,0.9024088194266354,6.396317465585563e-61
HMCN1,1.021838825615139,6.412356790025608e-61
CYP11A1,1.0192093541097091,7.352141121038727e-61
RNASE7,0.9812191051638381,7.39738250941259e-61
PRRG3,0.9152161180561194,8.567503219341846e-61
TP63,1.0267512534027334,9.868771073136385e-61
VSNL1,0.9471281510080666,1.826129255528803e-60
DTHD1,1.015773004517267,2.0356912793851747e-60
RERGL,1.0016745601910677,2.0732933886633304e-60
LGALS2,1.002422835092959,2.700230439830386e-60
GLT1D1,0.972811788519123,3.0456543338365583e-60
ALKAL2,0.7590525269038825,3.4638437903871345e-60
PRR33,1.0072082897598658,3.5100362062569017e-60
PLCXD3,1.0000245411817166,3.534484766939532e-60
CTSG,0.9964803034501846,4.3403594988446237e-60
KIF19,0.9634037786487923,4.5322347946139655e-60
CPED1,1.0054104443519778,5.573300467619852e-60
SLC8A3,1.0397316689188658,6.449410337628586e-60
CDK6,0.8834798904989267,6.753582572977427e-60
LSAMP,0.9968666393887218,8.607661002632532e-60
GPR15,0.990916615192348,8.804866030328133e-60
TRIM29,0.9650691295499303,9.307772903198467e-60
SPIB,0.8622291276571576,1.0986643767167772e-59
SPON1,1.0124785308616162,1.2426370472722968e-59
TNFRSF13B,0.9684139876711085,1.4116959685584215e-59
NPFFR1,0.8435474146086699,1.611960422167214e-59
CCR7,0.9371506397344307,1.7085581690992672e-59
CD8B,1.0094721661404167,1.7108156978755335e-59
CYP1B1,0.9372605547813726,2.3972624112563714e-59
CD52,0.9889686589838873,2.5472239645708474e-59
PDZD2,1.0299809131926794,3.384081903032572e-59
ALDH1A3,0.991287289861071,3.7383289514430724e-59
HTR2B,0.995202967220727,3.769056089488248e-59
SELL,0.9429376845716305,3.9559276150078615e-59
NRG1,1.0397532270523304,4.039314324917919e-59
BNC1,0.8267462199277061,4.1530432740933e-59
EGR1,1.0369105864361674,7.212438385000782e-59
MALL,0.8909731494866598,7.8248101799464e-59
FMO1,1.012279897064952,8.566889130770543e-59
HOXA5,0.9866327548589098,8.792746178558717e-59
CHRNA7,0.8963894996986144,1.1172344571363086e-58
CMA1,0.9837027467024836,1.4986394627403655e-58
AFF2,0.9076049031183824,1.582835321279231e-58
ANGPT4,0.9794726146885118,1.649288659338123e-58
BNC2,0.9926209452423767,1.7502629970841994e-58
B3GNT5,0.7711158241077037,1.755323479437389e-58
GABRP,0.7958590578727291,1.959047409559878e-58
CXCR3,0.970901517110103,2.0267784155013893e-58
CCL21,1.01324945202594,2.7572182956011718e-58
LPL,0.950922291065375,2.9867263860231625e-58
F2RL2,0.9244303546844974,3.710180405548745e-58
MS4A1,0.9621061810090884,4.3453109728180996e-58
CAPN6,0.8501915714356597,4.3539910088746264e-58
CCL5,0.9486863885767145,5.591852531047914e-58
ZAP70,0.9534443170975764,6.2694447977869046e-58
FGF2,0.9993650224858979,6.493078936086833e-58
SHISA3,0.9222197918772911,7.654805341920188e-58
VGLL3,1.013908747672214,8.464521961373768e-58
MAGEL2,1.0085305478240838,1.0002669588973825e-57
JAM3,0.9528623027384484,1.2265908777824344e-57
DOK2,0.9635494494996713,1.248804942624875e-57
MRAP2,0.9730885329832413,1.2842323911894785e-57
CNN1,0.9596550853427295,1.376215827676828e-57
L3MBTL4,0.803433447308623,2.7176242963831995e-57
CLNK,0.9560196090055569,3.3638755473954196e-57
NR2F1,0.9648366270842297,3.426123511990508e-57
LIF,0.90584513503873,3.58976866591905e-57
STAC2,0.9342408689216674,3.7972822699767324e-57
PSTPIP1,0.9555438218984288,3.870249946114235e-57
PTH1R,1.0008999786376518,4.701157497935233e-57
PCARE,0.6722984163840583,6.500728879644312e-57
KCNJ16,0.8995237854585991,8.21735323827342e-57
MMP3,0.9993871020473071,8.667866137287088e-57
FCN1,0.9820211420151361,1.06349475475778e-56
SLFN14,0.9684910025244027,1.094371810764378e-56
KERA,0.9075814030962783,1.403760648147139e-56
SFRP4,0.9574831697305723,1.4253874986692229e-56
ABCB5,0.9589844157305841,1.4396849927412301e-56
GPR17,0.9326774482809299,1.6239185143387315e-56
ANKRD35,0.9023023020958211,1.773168423744662e-56
DSG1,0.7841680241768534,2.060094239607418e-56
CD300LG,0.967480148469033,2.312454774090807e-56
IRX1,0.8577964204985589,2.53859425198266e-56
PTGDS,0.9771322940332154,2.8740265633274806e-56
SEMA3D,0.9838297202217694,3.5824387974942086e-56
FOXP2,0.9524926804004941,4.610902383188019e-56
CR1,0.9766297922989933,5.19644941172556e-56
ZNF366,0.9825022084736552,6.008636271043715e-56
CTSK,0.9836065127920928,6.428304539823717e-56
FCER2,0.927318908552531,6.552107235009442e-56
COL4A4,0.9087615351596264,6.559227641823427e-56
SELE,0.9537695687640386,6.94724537872035e-56
SIRPG,0.9580137327101679,7.09696287483316e-56
TRABD2B,0.925665600082599,8.232683697634708e-56
SLC6A2,0.6787377146001061,1.0178898472083355e-55
EDN1,0.9488210521227514,1.109827970616533e-55
IL1R2,0.8616304619250938,1.1165341567772711e-55
PTCHD1,0.7942917333125541,1.5402408854531603e-55
PI16,1.001282873752023,1.5428111927283834e-55
MRC1,0.9628845609296859,1.7141115055715354e-55
HMCN2,0.9191206015580669,2.6849510074301367e-55
LY75,0.9229937206956879,3.8065485832957654e-55
ZFPM2,0.9368318655664287,4.000269586749595e-55
CES1,0.979346439486263,4.201091823587231e-55
COL25A1,0.8838294005070073,4.209321036049567e-55
LYVE1,0.961176437357685,4.437157627708825e-55
SYNM,0.8543842983488148,7.016979893901776e-55
GXYLT2,1.0612252488069562,7.086034873572915e-55
AVPR2,0.9661404139534226,8.694544657012834e-55
RNF150,0.8539641211156717,9.281597807209259e-55
CD79A,0.9418264922409559,1.0461439604356427e-54
TMEM130,0.9624173198079571,1.096727002939813e-54
KRT5,0.9539012740474533,1.432773081924667e-54
CD209,0.947932957216109,1.6364277732686135e-54
FCRL3,0.9537682381824553,1.8406353057001258e-54
CTSW,0.9407002426283488,2.1951014008663115e-54
FCRL1,0.9209807134617449,2.2068805978077897e-54
FCRL2,0.9306243476353906,2.474194695420843e-54
SLC6A14,0.811759433512848,3.330297236312664e-54
DPF3,0.8766872115646519,4.0585263233631015e-54
TLR8,0.9285616800067804,4.1844130517211886e-54
HOXA2,0.9471087363175239,4.603760395148915e-54
NKG7,0.9121243914065315,5.011475222437195e-54
CCN4,0.9660654578491398,5.344086275004826e-54
TNFRSF17,0.944911334752681,5.654556907900012e-54
FHL5,0.9466938759749038,5.90804318406569e-54
IRAK3,0.985081753918993,6.163978227377827e-54
FCRL5,0.9526249985810878,6.999342990401383e-54
GALNT8,0.9216669133453489,7.461261264366827e-54
TIGIT,0.956406114604198,7.598024812204694e-54
CMTM5,0.7315302561385907,7.751503433973325e-54
ZNF80,0.9196586571244798,1.0153899911377801e-53
HAS2,0.9854654519981922,1.0484941286554683e-53
HEPACAM,0.9603775653677343,1.0501272781271507e-53
RGL4,0.9399289020993249,1.0877821403721594e-53
SLAMF7,0.9057430521996117,1.0910312442636345e-53
IL2RG,0.9095174404722043,2.1396384974653745e-53
SCN7A,0.8497613728255716,2.240101077721591e-53
CACNA1G,0.9404718181548788,2.555161915855007e-53
MYOCD,0.9148349846648858,2.656355876240607e-53
CNR2,0.9083299676122626,3.882083953399171e-53
FASLG,0.8996267245760721,4.33265136543518e-53
KCNIP1,0.9237779679242604,4.88302521424339e-53
CDH22,0.963515311996867,6.038373096543678e-53
MAGEE2,0.8838995178980128,6.772766840333117e-53
FOLR2,0.9406318830235584,6.894861108388346e-53
EDN3,0.9220276489959296,7.609191361330544e-53
FAM180B,0.9392104069766172,7.9882829563728e-53
MMP7,0.8374511232838561,8.084196084378334e-53
VCAM1,0.9293953669588142,9.228529999451854e-53
PHYHIPL,0.9128019787150332,1.0034246304635666e-52
CLECL1,0.9136650784871335,1.0905364217983403e-52
ALDH1L1,0.9524365212355851,1.1437840193913031e-52
ETV3L,0.6730069213098303,1.1970043869831037e-52
CLIP4,0.9742043688083596,1.4615916202198864e-52
NCR3,0.9122437607463056,1.6966922277845302e-52
COL6A3,0.9429197339912002,1.7130524303244593e-52
NUDT11,0.8668521437579542,1.7485720485276076e-52
P2RY13,0.9329039296979951,1.7708531311396525e-52
PLXNA4,0.9535144721363678,1.8102716230336514e-52
SPHKAP,0.7351758616769934,1.9329905503416067e-52
ZFHX4,0.8979224717239118,2.4263777041355095e-52
HS3ST4,0.8357513897392949,2.527760037855253e-52
HOXA6,0.9254942763159354,2.6447363580598317e-52
