,PC1,PC2,Cluster
b793fa3a-f197-409f-b630-2dcba3290cce,-12.70793576336065,6.017011163225262,2
4d4d40f2-1f96-4d31-81aa-d44b17a217ed,25.179047657226782,-34.203082540074206,1
d7eb3fb0-7bfe-4f69-b298-41dde09902e6,34.58375558568816,38.27297734296591,0
cbf0063b-68e5-42ee-9292-dfbf918a7b08,-32.81516363043647,1.9639878171176621,2
674907a1-381a-4952-924a-52e2adf5ad19,5.3943588790863375,22.14702821432053,0
4fb219d8-519a-4ce9-a3f1-28fae295424f,-21.29146267154479,-3.1651425399495596,2
d667391d-a4f9-40b8-9758-4b9246f49dfc,10.827672086875696,22.86911874818548,0
508e541e-c751-42cd-8f8c-a57a835daf1b,-7.6864813525740345,6.115951884280552,0
071e21e7-a494-4d87-ab48-1cb334e0d992,13.010277048629694,9.847632578942513,0
948f1e9e-702b-4f42-a766-fb6b4976b14d,-7.679523267761649,7.633626438411942,2
d7dc889e-649a-46e1-98ae-d4708c26930b,28.86103763278067,-6.160544607977807,0
4fb42c7e-2a7e-4641-ae7c-e92fd9c2be11,7.372386113470118,23.853176149119783,0
02423743-43b4-494b-acd9-1cd3bcd3d395,0.7360375266524505,14.308450168744637,0
51538db5-edf3-40bc-ae5e-dc9b552e8b53,14.157727480882826,33.379320727686874,0
e88a6a51-24b3-4b52-bd5a-f306f1c9e0d9,-19.223260980506918,11.878354649012799,2
839aaefe-1755-4131-9b89-2610481a13c4,5.449856860305372,-6.143052204419434,0
79f139fe-fecb-4b0e-b668-3407c13748d8,12.955466323046224,9.007049813101148,0
c1f95e8e-aaaa-4090-8f64-c619aa543d1b,14.728991164718632,12.725209597503323,0
e55a506c-870f-4011-adfc-37eccbf5f17e,5.475962060421989,-13.711365196268478,0
5d5bb9d2-2244-4673-99db-653609cf5de2,57.30093829365682,-17.256320216929083,1
60e5b5de-ba65-46c7-82ee-8181628f0cbd,13.947221167392122,21.974078743425654,0
c9f641bc-d9fe-4cd6-8e73-bbf6935aee52,28.823109424661133,-13.593052799618766,1
3719879b-e7b9-42b4-974c-f69735086cad,26.768709242817486,38.75061094496836,0
b5e84055-487f-467a-9bc4-bd59ec82f183,-7.211355013611614,22.35146708108582,0
55d29bdf-c959-4eda-ab2b-e09d7abb58fa,23.0152853341958,-21.77656349840341,1
c32e3393-3a51-4d72-aa60-e8e6e8c083f0,-5.072615347068837,8.337558283575289,0
88d14d8e-cbbe-4157-b3ae-f1ddcb5e9551,5.9049640963312555,3.711014927875414,0
1fc52882-bc89-4a45-a96e-5e051420c513,34.49085232274229,-24.81967154525994,1
ed13eb3a-17ab-4781-bc60-13797148c7c4,18.055476188364803,-3.178257520821542,0
631a9df0-9d81-4b15-9ee6-3ae9f31dcba6,5.730494861070125,-43.24163591742831,1
24747d11-c715-48f3-821b-f6dbd6a890fb,-58.8161311401832,-8.735411465260356,2
0a9e33db-2527-4cc3-8669-a7c10fed7a7f,-27.750923625537474,9.500412506973689,2
00a26384-1b1c-4db4-9664-75fb9b3febdb,2.128576341146416,22.04315126232837,0
6f4e8f95-44f7-41c5-8af9-19212eff36d6,-3.1842989417196104,-61.31891042556401,1
9488f59b-105a-4c4b-844e-23498427b51f,5.017640994875516,-36.85066978283248,1
d244c9fe-f289-417a-af42-85591ef4fdc6,18.4301149382091,-13.495258180691344,1
49563aad-aeb3-4a9b-8849-a60c119cbaa4,27.174421543860806,-1.980590005918294,0
4a88d54f-c88c-4ffd-84c9-069b53f2cb28,-22.396435551689322,20.302103298045406,2
4abffa72-e45a-405a-b53b-73900d48253d,-2.9498174659374676,22.216735075329225,0
56f92378-3707-489e-b4bc-6f7485122484,-8.033046509359863,24.13010391323091,0
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,-10.78631550711473,23.39238857311445,0
c5d73777-b7f3-4107-9efc-afde92f70469,-16.433943858136523,-14.026722111316428,2
92e64d91-88d8-4b1f-ab56-b593748b9f19,-25.28432275419367,6.511834686082211,2
516fdfb1-7662-4524-9bcd-23ccbbec6a86,-58.30366403258522,-41.82179959124214,2
df6af593-6a85-4f5f-8dbe-c32df5a85ef6,33.322497572233054,-44.955842403261336,1
97ec0a19-d386-48fc-842c-78488b0d41f3,26.94516979170702,36.23668326942133,0
668e1e67-cc4f-40fd-b921-23aec5078635,-21.363263074787028,9.971100224261708,2
69d12077-db51-4a74-a090-9b26e0368ee8,54.19275396333638,-10.838949521097152,1
04c428b5-d0b9-4ecf-86e8-8a42dc4cbb5e,11.584422605123663,25.428480348191872,0
47bdf86d-922f-4615-b7dc-8b19a0cbcf60,-30.820593165307272,7.309949250636261,2
0633890f-584c-43d9-aa3f-7a6555533dd8,11.928852994757037,23.682281481743946,0
80de2366-cd3c-4b51-9957-06ac3e152cf0,-49.63203270686899,0.5053059240048954,2
3d804011-ba3a-4999-9305-71b4680819b9,6.719206517877817,20.221433708111,0
22e623b3-2c82-4283-bd28-2cf1777b0179,37.988327291931206,-29.38557969270005,1
aae57dd0-eae8-48b0-855f-2cd17c9f524d,5.105201811241751,-26.314969120159123,1
4591685a-dc4c-4049-aced-8278c715c890,-42.88855853636146,-6.54227886953036,2
723ed50c-2c78-4a3a-9f6e-9f9e8e264f6b,-38.79413181204204,-1.9988179891483848,2
7f2a1bd4-9b71-4e12-ae92-6aaaf247ebca,4.189661483634896,3.865991988802559,0
df45fb41-4511-4dab-b865-fcdfcda0400a,3.7293032632157526,-17.73849843294077,2
83834ecf-bc98-416a-98c0-824229e6cfe0,-31.648559450689866,4.302495251418871,2
b87ce383-9333-420c-9184-62d9d1eadabc,31.955171634533144,-18.105269199955693,1
22c2b380-799e-4fad-ae38-46a916c592d5,-15.679453083643137,13.338843891259826,2
e17707f9-a0db-473f-9dc6-608b62e74689,27.57164760880729,7.709510247565486,0
afd15ee9-ef38-4d14-b1c1-7f4267fe6a04,-18.096807809205558,2.3596605827039325,2
0dacd83e-7fab-4064-a25c-c1de66be5305,62.23634400127205,-3.722396559349997,1
d8edd309-518d-4358-8245-9e92d7af4441,8.152385156922225,12.625145107955545,0
d504a28c-f8e7-4c5e-b01a-23b4cdd1dd8a,-23.898626410876847,-16.38721216831184,2
815b70e5-858d-416d-94aa-6749960883ce,-30.006079747130823,-5.268965342433488,2
5782ee15-ce76-43d2-ba6c-e84284f4a99f,-36.935566461202434,-24.552821354732725,2
b6a8beee-f393-4d3b-943e-1c44fad65526,-15.693435719555977,16.740399748264803,2
d820ac02-a30e-437b-b20a-3e92705b7b81,18.013548047150316,-39.0920176301256,1
5167da8c-2b1c-4139-a2c4-355e9f07d0be,19.99582348370442,0.4667887223189813,0
a1ba2be6-2ba6-4be5-9cc8-6db7950601c9,8.167853300535212,27.168071846608502,0
c36f7911-13d2-4230-a5f5-e9c562d763bc,-39.91914983149151,-10.21168509739946,2
db5f53f3-6438-4f23-9683-ee16244d98b9,-24.563196083605238,1.7684176633923419,2
8d3d544f-6d1a-4cdc-8091-490311487ebd,37.99323965232325,-24.10417241998173,1
73e13f2d-a557-47f2-85e2-7bb8e3a48ef9,18.31573013626068,17.633976713877225,0
b29eda98-8a40-4c9f-ab41-7d6eded84d50,12.213934808015647,22.857509879895957,0
24e5d229-23d1-49c2-bc00-ad3441b324cc,-38.25218556468428,1.6215342516871099,2
e6ac5ada-4358-4ca3-b1cf-05d3e0cf0597,-15.854039310487273,-0.31525861697869656,2
b9e82597-fdf2-4479-a764-29193ddbd58f,-3.9585454787582512,13.907872040574066,0
0f9b8032-b21a-4480-8434-d174760a7ddd,-20.603212321456976,-14.883133283043444,2
2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e,-5.926137496192118,-9.04396022792479,2
ca8b34fa-ab70-42c1-8e81-8b28ba1a8f3a,40.62781973160385,-27.726134392518432,1
39eaa466-f50c-402e-b127-b6b016d0480d,-3.4240626177025106,-3.87299145360465,2
74d50556-5de8-4eff-82e6-a3ad9c70020a,3.797050128981363,16.643164287122314,0
93f26994-d3de-4c8a-bfde-86af8d85b01a,-0.08448789450724888,23.324883688556074,0
2645561c-8313-4196-b321-b4a83879df88,5.886506901019351,-16.454191991368173,0
4541a5e4-240b-466d-bbc4-3904581490f3,-24.07969291390912,1.6215900702548733,2
7289e7d5-65af-4d53-a4de-2691991d90d6,-11.180583352175514,5.28373906733262,2
b05af4cd-19e2-4752-ad71-c36b886f4507,1.9364910191297882,8.068496839337126,0
c62cda08-6134-47c6-8796-9da0788d9717,27.431131201490636,38.76889197075741,0
9ccd787f-fde1-4fe6-a11f-d6203eaf9faf,2.255596156570655,15.475203678305094,0
4ba90a73-b2e0-415b-9cd2-fad805840aff,33.55697000963943,-21.258491492484822,1
16bd1ebb-5bf9-4839-99bd-5a4d3dcad7b8,3.537717993560753,7.276156890006888,0
f9683515-b944-4c7b-b41d-ea105bd37a5a,21.434976513364894,-42.90612919168023,1
e682e28e-0611-4e92-899c-637fde17423d,-6.801255986483576,3.387800417782982,0
5e4626c1-dcf9-4781-a2e7-f6afca7e2ee7,4.062217124199175,13.379209121222555,0
8cf6a0f3-9dfb-41f5-b855-c313c583e707,2.5096023716331834,3.600408588896839,0
8f1c0479-48ac-46e7-a2c2-973a8a6c4747,-41.56108067703319,-27.64153647509934,2
c8e8f4e7-7aae-41f7-9d36-5938d2c2fc04,-29.854723911753062,6.751320704819258,2
4eee2055-ed1f-4958-b214-4cff055c87bd,-17.889722520744634,5.493265872791681,2
cf122ae0-0be8-43dd-a0b9-01fff585186f,19.894363718911414,32.3503046379909,0
8f8c9d55-303c-4099-8038-458e3e96ad4e,3.819270510255883,22.374743200466813,0
a7428d3b-f84b-4c2f-a996-14a11af6b6df,57.68052484738947,0.9079838060349121,1
281a89c1-e817-49d4-afa1-2894c2747919,-6.067858375713201,4.677861494224188,0
62298f43-7f8b-430e-9a23-0ee0ffbc1162,-63.12612253663617,-21.84590082542331,2
